app_start.stm,app_start.sip,app_start.rom_ver,app_start.sid,app_start.app_type,app_start.ctime,app_start.app_ver,app_start.order,app_start.h_mode,app_start.h_sn,app_start.net_type,app_start.appmode,app_start.o_source,app_start.app_name,app_start.status,app_start.s_ver,app_start.mac,app_start.year,app_start.month,app_start.day,app_start.hour
1540744906,111.41.136.232,4.1.1.12_s,628fb0bd36c447c0ab160a3b51455f60,4,1540743968,4.1.1.12,5,LE42B510F,FUN201001393816010102973,1,TVAppStore,tv.fun.appstore,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,28:76:CD:04:20:B4,2018,10,29,00
1540745041,113.66.38.87,7.0.20180705.203435,33ce9e2cc084481f9c2e7445686e6275,4,1533563638,1.0,84,toptech_TT338512S,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:49:d7,2018,10,29,00
1540744214,123.180.35.68,1.0.0,bac4d04a23cb496583f60f04ee08851d,4,1540740763,1.10.12-ga7a909c,4,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.qiyi.video,1,8.1,78:dd:d9:bd:54:b7,2018,10,29,00
1540743350,118.112.113.135,7.0.20180710.111733,a4fda612b69c48468b8bbd221c912466,4,1540648875,1.0,19,toptech_TT348512,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:52:1c,2018,10,29,00
1540744392,223.74.214.151,20180927,248dee02dbe34a149cdcf8337937e245,4,1540743668,3.5.5.1,9,cultraview_AOSP%20on%20p383,,1,TVLauncher,com.bestv.ott,com.cibn.tv,1,6.0.2.1,b8:3d:4e:9e:09:cf,2018,10,29,00
1540744476,113.95.11.247,4.1.1.20_s,1b8e07458251424b91baa8c60b4b240e,4,1540743616,4.1.1.20,7,FD4051B-CF,FUN201003597817450103031,1,TVAppStore,tv.fun.appstore,com.dianshijia.newlive,1,3.1.1,28:76:CD:CC:76:3E,2018,10,29,00
1540745016,113.66.38.87,7.0.20180705.203435,4169da4778374eb09b45c24dde9d7975,4,1533538384,1.0,18,toptech_TT338512S,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:49:d7,2018,10,29,00
1540745652,182.119.12.75,4.3.3.16_s,b8107cf8768d44d5bd775d87880bac77,4,1540710530,4.3.3.16,62,FD4952A-SU,FUN201003361017410104782,1,TVAppStore,tv.fun.appstore,com.x.tv,1,1.1.1,28:76:CD:BC:8C:52,2018,10,29,00
1540745034,113.66.38.87,7.0.20180705.203435,33ce9e2cc084481f9c2e7445686e6275,4,1533542995,1.0,17,toptech_TT338512S,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:49:d7,2018,10,29,00
1540743360,223.115.6.94,4.1.1.12_s,6a83ead05f0d48f6aea546b691e161c2,4,1540742393,4.1.1.12,1,LE48B510F,FUN201001519116170101905,1,TVLauncher,com.bestv.ott,tv.fun.children,1,4.1.1.12,28:76:CD:09:BB:7B,2018,10,29,00
1540744342,120.239.2.55,4.3.3.16_s,27a587baab3e4b6394684e73dca2f684,4,1540733774,4.3.3.16,13,FD6552A-SU,FUN201003239217360101640,1,TVAppStore,tv.fun.appstore,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,28:76:CD:B6:DF:5C,2018,10,29,00
1540745756,111.173.189.37,4.1.1.12_s,8d025710a51c42a7818127ce7a0f04c6,4,1540727993,4.1.1.12,296,LE42B510F,FUN201001498516140104054,1,TVAppStore,tv.fun.appstore,com.dianshijia.newlive,1,3.1.1,28:76:CD:07:3D:92,2018,10,29,00
1540744202,111.29.177.64,4.1.1.11_s,b28466adf24c456fbd58235b9a5adb92,4,1540727653,4.1.1.11,75,LE32B310G1B,FUN201002309716500102028,1,TVLauncher,com.bestv.ott,com.yuanju.comicsisland.tv,1,1.0.6,28:76:CD:10:7A:E4,2018,10,29,00
1540743577,140.207.236.91,1.0.0,5b6a398418564850a590697543dc459b,4,1540743573,1.10.12-ga7a909c,4,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.qiyi.video,1,8.1,78:dd:d9:ba:c8:99,2018,10,29,00
1540745048,113.66.38.87,7.0.20180705.203435,32f1e46ad6dc49f58ffec0740902c833,4,1537072287,1.0,11,toptech_TT338512S,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:49:d7,2018,10,29,00
1540745013,113.66.38.87,7.0.20180705.203435,4169da4778374eb09b45c24dde9d7975,4,1533536104,1.0,4,toptech_TT338512S,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:49:d7,2018,10,29,00
1540743293,112.44.88.126,4.1.1.12_s,ac1a93f82c834e8d9f5baa7b508eb321,4,1540740564,4.1.1.12,81,LS55H310G,FUN201002226416470102790,1,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.7.0.1020,28:76:CD:0F:A5:30,2018,10,29,00
1540745022,113.66.38.87,7.0.20180705.203435,d0970107c27042aab7c73a6aac286819,4,1533562608,1.0,20,toptech_TT338512S,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:49:d7,2018,10,29,00
1540743222,183.52.136.109,1.0.0,1a0c0c7d5599481fba5a0ce786048318,4,1540731025,20180912152755,4,MStar+Android+TV,,1,,com.cvte.tv.api.impl,com.cvte.tv.media,1,3.7.15,78:dd:d9:bd:1f:4d,2018,10,29,00
1540743203,118.121.229.171,4.1.1.20_s,0d35a955528546f0af2699e3d172d388,4,1540710618,4.1.1.20,32,FD4051B-CF,FUN201003546317440104854,2,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.6.0.1036,28:76:CD:C3:97:F1,2018,10,29,00
1540742620,112.44.211.211,1.0.0,eac99886edd04017b453b8fac2fcb0db,4,1540739182,1.4.2,5,MStar+Android+TV,,1,,com.cvte.tv.appstore,com.cibn.tv,1,5.14.1.22,78:dd:d9:bb:a9:bc,2018,10,29,00
1540743783,117.136.87.118,3.5.5.9_s,ee0633a9db7b4a1c82a935bfed926289,4,1540743614,4.4.4,38,LS48H310G,FUN201001433616090104443,1,,com.android.packageinstaller,com.ucbrowser.tv,1,1.7.1.505,28:76:cd:06:a0:a7,2018,10,29,00
1540744613,120.231.250.213,1.0.0,93cf5946ce684b26bf55f8765cf17221,4,1540734474,1.10.12-ga7a909c,7,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.ktcp.video,1,2.7.1.2226,78:dd:d9:bd:2d:9a,2018,10,29,00
1540742963,139.205.141.188,1.0.0,1f56e7dcaee34562bcb1b768835c182d,4,1540722816,1.10.12-ga7a909c,11,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.cvte.tv.appstore,1,1.3.31,78:dd:d9:b8:9c:1a,2018,10,29,00
1540742500,124.224.131.202,4.1.1.21_s,a279f506f0334bbabc832c30bf97227d,4,1540742171,4.1.1.21,144,FD5552A-DU,FUN201003303517380104521,1,TVLauncher,com.bestv.ott,tv.fun.children,1,4.1.1.21,28:76:CD:B8:09:2D,2018,10,29,00
1540744532,117.183.88.98,4.1.1.17_s,fdbec4fbac724bccb315e1b50532e74f,4,1540743594,4.1.1.17,292,FD5551D-DU,FUN201004591618360101258,1,TVLauncher,com.bestv.ott,tv.fun.children,1,4.1.1.17,18:89:A0:0E:A6:AF,2018,10,29,00
1540742600,113.111.172.70,1.0.0,694365d3043e4f268f02f1c0e3f5db9d,4,1540742387,20180918203355,7,MStar+Android+TV,,2,,com.cvte.tv.api.impl,com.cvte.tv.media,1,3.7.15,78:dd:d9:bf:7c:d4,2018,10,29,00
1540742529,183.200.171.162,4.1.1.20_s,ab5e4206af9f4105bb07c60396a55ebc,4,1540737212,4.1.1.20,290,FD4051B-CF,FUN201004545718340101174,1,TVAppStore,tv.fun.appstore,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,8C:6D:50:79:80:3C,2018,10,29,00
1540743175,183.131.109.99,4.1.1.12_s,79bc568b30884de99ac5276550b18cc7,4,1540742166,4.1.1.12,10,LE42B510F,FUN201001428716030101627,2,TVAppStore,tv.fun.appstore,com.gitvdemo.video,1,8.7.3.77685,28:76:CD:04:A6:A5,2018,10,29,00
1540744127,182.141.87.204,4.1.1.12_s,ba00291b15474b269545c787161e12d7,4,1540743171,4.1.1.12,3,LE42B510F,FUN201001556516140100795,1,TVLauncher,com.bestv.ott,tv.fun.orange,1,1.1.0.0,28:76:CD:08:2A:5F,2018,10,29,00
1540742600,117.135.231.173,20180912,b8bd1bdd575a44948009d5bb11287711,4,1540739504,3.5.5.1,28,cultraview_AOSP%20on%20p383,,1,TVController,com.funshion.controlservice,com.evideo.kmbox,1,1.2.0,b8:3d:4e:9d:68:ee,2018,10,29,00
1540745047,111.19.47.238,4.1.1.12_s,f6c3da64283243f3ab52843a10f5f645,4,1540744094,4.1.1.12,5,LE42B510F,FUN201001498116140103374,1,TVAppStore,tv.fun.appstore,com.dianshijia.newlive,1,3.0.28,28:76:CD:07:4E:A4,2018,10,29,00
1540744037,124.88.38.14,4.1.1.12_s,1a4c1348e29d473d92bb333ea87ca198,4,1540743419,4.1.1.12,121,LE42B510F,FUN201001372415530101982,1,TVController,com.funshion.controlservice,com.funshion.tvwifidisplay,1,4.1.1.12,28:76:CD:03:81:C8,2018,10,29,00
1540745623,112.97.247.34,4.1.1.20_s,37900cc42e9049fba28bbb95098007b5,4,1540745027,4.1.1.20,38,FD4051B-CF,FUN201004545718340100916,1,TVAppStore,tv.fun.appstore,com.tencent.gamestick,1,1.3.51,8C:6D:50:79:7F:3A,2018,10,29,00
1540743398,183.206.85.156,4.3.3.16_s,43f8205815ed40f49de658dd75bc9fc4,4,1540727478,4.3.3.16,422,FD4952A-SU,FUN201003247017360104172,1,TVAppStore,tv.fun.appstore,com.douyu.xl.douyutv,1,2.1.0_realse,28:76:CD:B4:47:8A,2018,10,29,00
1540745530,219.138.21.197,4.1.2.2_s,d1bc25b023354095974c56b0cc323da9,4,1540744423,4.1.2.2,184,FD4952A-SU,FUN201004632418390100842,1,TVLauncher,com.bestv.ott,tv.fun.instructions,1,4.1.2.2,18:89:A0:20:E9:AD,2018,10,29,00
1540744318,42.235.160.95,4.1.1.12_s,cc5b6990119f45919b705e584ab9b98b,4,1540727391,4.1.1.12,103,LE42B510F,FUN201001979216340103747,1,TVAppStore,tv.fun.appstore,com.tencent.qqmusictv,1,3.3.0.14,28:76:CD:0C:80:2A,2018,10,29,00
1540742860,106.91.6.50,4.3.3.16_s,2569cfe5269049278fc93a5fdc861462,4,1540742796,4.3.3.16,240,FD4251A-CF,FUN201002668017150104457,1,TVLauncher,com.bestv.ott,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,28:76:CD:2D:D8:1D,2018,10,29,00
1540743144,221.211.120.11,4.1.1.9_s,218a644eabe54177bfcc78b5d97c58ea,4,1540730965,4.1.1.9,67,LE42E6900,FUN201001947116320104567,1,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.7.0.1020,28:76:CD:0C:51:D9,2018,10,29,00
1540743864,139.212.246.188,4.3.3.16_s,f0c7244375cf4b6d91b40f1d006c8bb9,4,1540729780,4.3.3.16,15,FD6552A-SU,FUN201003547917440103741,1,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.7.0.1020,28:76:CD:C4:DE:06,2018,10,29,00
1540743065,123.123.154.103,4.1.1.12_s,6584c76512ca44d7bacfb5ffe70ee403,4,1540742071,4.1.1.12,1,LE42B510F,FUN201001383715530100557,1,TVAppStore,tv.fun.appstore,com.gitvdemo.video,1,8.7.3.77685,28:76:CD:03:DC:61,2018,10,29,00
1540742468,113.230.66.136,4.3.3.16_s,88538a7da40e4f0ba9a632ab67a42571,4,1540730473,4.3.3.16,27,FD5552A-DU,FUN201002664117130104688,1,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.6.0.1036,28:76:CD:1E:67:5C,2018,10,29,00
1540745435,61.158.85.67,4.1.1.12_s,9b114ddfb67d4b8684c9459ee2328302,4,1540745057,4.4.4,96,LE39B3500W,FUN213000068616500104043,1,,com.android.systemui,com.bestv.ott,1,4.1.1.12,28:76:CD:10:FE:65,2018,10,29,00
1540744540,36.47.72.205,4.1.1.12_s,4f9ec0fcfbd940dea253d3388788f7d7,4,1540743653,4.1.1.12,7,LS55H310G,FUN201002522417070103493,1,TVAppStore,tv.fun.appstore,com.haier.uhome.uplustv,1,01.01.15.111601,28:76:CD:18:5A:4A,2018,10,29,00
1540742774,49.76.206.246,1.0.0,a483c1be4be94d1794abf2f5df065333,4,1540726753,1.10.12-ga7a909c,5,cvte_MStar%20Android%20TV,,1,,com.cvte.tv.launcher.fighter,com.qiyi.video,1,8.1,78:dd:d9:ba:ee:24,2018,10,29,00
1540745653,182.119.12.75,4.3.3.16_s,b8107cf8768d44d5bd775d87880bac77,4,1540710578,4.3.3.16,65,FD4952A-SU,FUN201003361017410104782,1,TVAppStore,tv.fun.appstore,com.x.tv,1,1.1.1,28:76:CD:BC:8C:52,2018,10,29,00
1540745462,1.58.215.12,1.0.0,88a0d4272b944a3f8a05634c007ad022,4,1540731658,1.10.12-ga7a909c,9,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.qiyi.video,1,8.1,78:dd:d9:be:2d:29,2018,10,29,00
1540742796,14.156.98.44,4.1.2.11_s,b5bc143eb8894f75b71e553ccecffb0a,4,1540734305,4.1.2.11,124,FD4952A-SU,FUN201003246917360100286,1,,com.android.systemui,com.bestv.ott,1,4.1.2.11,28:76:CD:B4:24:A2,2018,10,29,00
1540744146,124.119.133.113,4.1.1.12_s,1493ea2f9162414182acb48085377952,4,1540743174,4.1.1.12,5,LE32B510F,FUN201001387116010100399,1,TVAppStore,tv.fun.appstore,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,28:76:CD:03:EF:64,2018,10,29,00
1540742481,221.225.68.235,1.0.0,8b076e3206ab42ebbbd2d6ee982a4d84,4,1540732229,1.3.31,11,cvte_MStar%20Android%20TV,,1,,com.cvte.tv.appstore,com.qiyi.video,1,8.1,78:dd:d9:b8:88:8b,2018,10,29,00
1540745568,223.73.255.9,4.1.1.11_s,48c78770afb349d8b0a9e95c57a5d004,4,1540737933,4.1.1.11,143,32CE3210D,FUN201002313516510101263,1,TVAppStore,tv.fun.appstore,com.gitvdemo.video,1,8.7.3.77685,28:76:CD:11:D6:7D,2018,10,29,00
